SCHOOL,STATE,CITY,PROGRAM,DEPARTMENT,PGRM_CAT,DEPT_CAT,TYPE,DELIVERY,LINK
Carnegie Mellon University,Pennsylvania,Pittsburgh,"master of information systems management, business intelligence and data analytics (mism-bida)",heinz college,BI Analytics,NA,M,Campus or online,http://mcds.cs.cmu.edu/learn-us-admission
Carnegie Mellon University,Pennsylvania,Pittsburgh,"master of information systems management, business intelligence and data analytics (mism-bida)",heinz college,IT IS,NA,M,Campus or online,http://mcds.cs.cmu.edu/learn-us-admission
Carnegie Mellon University,Pennsylvania,Pittsburgh,master of computational data science (mcds),school of computer science,DS,dept cs,M,Campus,http://mcds.cs.cmu.edu/
Carnegie Mellon University,Pennsylvania,Pittsburgh,master of computational data science (mcds),school of computer science,CS,dept cs,M,Campus,http://mcds.cs.cmu.edu/
Case Western Reserve University,Ohio,Cleveland,msm - business analytics,weatherhead school of management,BI Analytics,dept business,M,Campus,https://weatherhead.case.edu/degrees/masters/ms-management/business-analytics/
Central Connecticut State University,Connecticut,New Britain,graduate certificate in data mining,department of mathematical sciences,BI Analytics,dept math,C,Online,http://web.ccsu.edu/datamining/graduate%20certificate.html
Central Michigan University,Michigan,Mount Pleasant,certificate in data mining,department of mathematics,BI Analytics,dept math,C,Campus,https://www.cmich.edu/colleges/cst/math/academic_programs/graduate/Pages/default.aspx
Central Michigan University,Michigan,Mount Pleasant,master of science in applied statistics and analytics,department of mathematics,Stats,dept math,MS,Campus,https://www.cmich.edu/colleges/cst/math/Pages/Graduate-Certificate-in-Data-Mining.aspx
Chapman University,California,Orange,doctorate in computational and data sciences,schmid college of science & technology,DS,dept tech,PhD,Campus,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx
Chapman University,California,Orange,doctorate in computational and data sciences,schmid college of science & technology,CS,dept tech,PhD,Campus,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx
Chapman University,California,Orange,doctorate in computational and data sciences,schmid college of science & technology,DS,dept tech,PhD,Campus,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx
Chapman University,California,Orange,doctorate in computational and data sciences,schmid college of science & technology,CS,dept tech,PhD,Campus,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx
Chapman University,California,Orange,master of science in computational and data sciences,schmid college of science & technology,DS,dept tech,MS,Campus,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx
Chapman University,California,Orange,master of science in computational and data sciences,schmid college of science & technology,CS,dept tech,MS,Campus,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx
City University of Seattle,Washington,Seattle,master of science in computer science with concentration in big data management,technology institute,CS,dept tech,MS,Online,http://www.cityu.edu/programs-overview/master-science-computer-science/
Claremont Graduate University,California,Claremont,masters of science in information systems & technology: concentration in data science & analytics,center for information systems and technology (cisat),DS,dept tech,MS,Campus,http://www.cgu.edu/pages/6650.asp
Claremont Graduate University,California,Claremont,masters of science in information systems & technology: concentration in data science & analytics,center for information systems and technology (cisat),IT IS,dept tech,MS,Campus,http://www.cgu.edu/pages/6650.asp
Clarkson University,New York,Potsdam,master of science in healthcare data analytics,school of management,NA,dept business,MS,Online,http://www.uniongraduatecollege.edu/management/MS-Healthcare.aspx
Cleveland State University,Ohio,Cleveland,graduate certificate in advanced business analytics,monte ahuja college of business,BI Analytics,dept business,C,Campus,http://www.csuohio.edu/business/academics/business-analytics-graduate-certificate-programs
Cleveland State University,Ohio,Cleveland,graduate certificate in strategic business analytics,monte ahuja college of business,BI Analytics,dept business,C,Campus,http://www.csuohio.edu/graduate-admissions/how-apply
College of William and Mary,Virginia,Williamsburg,master of science in business analytics,raymond a. mason school of business,BI Analytics,dept business,MS,Campus,http://mason.wm.edu/programs/msba/index.php
Colorado State University-Fort Collins,Colorado,Fort Collins,master of applied statistics (m.a.s.),department of statistics,Stats,dept stats,M,Online,http://www.online.colostate.edu/degrees/applied-statistics/
Colorado State University-Global Campus,Colorado,Greenwood Village,certificate in business intelligence,not available,BI Analytics,NA,C,Online,https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/
Colorado Technical University,Colorado,Colorado Springs,doctor of computer science - concentration in big data analytics,computer science department,CS,dept cs,PhD,Online,http://www.coloradotech.edu/degrees/doctorates/computer-science/big-data-analytics
