SCHOOL,STATE,CITY,PROGRAM,DEPARTMENT,PGRM_CAT,DEPT_CAT,TYPE,DELIVERY,LINK
National University,California,La Jolla,master of science in health and life science analytics,school of health and human services,NA,NA,MS,Campus,http://www.nu.edu/Admissions/Graduate/AdmissionsChecklist.html
New College of Florida,Florida,Sarasota,master in data science,graduate department,DS,NA,M,Campus,https://www.ncf.edu/academics/graduate-program/data-science/
New Jersey Institute of Technology,New Jersey,Newark,ms in applied statistics,department of mathematical sciences,Stats,dept math,MS,Campus,http://adultlearner.njit.edu/professionaldevelopment/
New Jersey Institute of Technology,New Jersey,Newark,graduate certificate in data mining,department of computer science,BI Analytics,dept cs,C,Online,https://adultlearner.njit.edu/programs/datamining-cert.php
New Mexico State University-Main Campus,New Mexico,Las Cruces,master of science in applied statistics,"economics, applied statistics and international business",Stats,dept business,MS,Campus,http://business.nmsu.edu/academics/graduate-programs/ms-astat/
New Mexico State University-Main Campus,New Mexico,Las Cruces,master of science in applied statistics,"economics, applied statistics and international business",Stats,dept stats,MS,Campus,http://business.nmsu.edu/academics/graduate-programs/ms-astat/
New York University,New York,New York,master of science in information systems,computer science department,IT IS,dept cs,MS,Campus,https://www.sps.nyu.edu/professional-pathways/diplomas/advanced-diploma/healthcare-informatics-for-clinicians.html
New York University,New York,New York,master of science in data science,nyu center for data science,DS,dept ds,MS,Campus,http://www.scps.nyu.edu/academics/departments/health-information-management/advanced-diploma-in-healthcare-informatics-for-clinicians.html
New York University,New York,New York,advanced diploma in healthcare informatics,school of professional studies: health and care programs,NA,NA,C,Hybrid,http://cusp.nyu.edu/admissions-requirements-and-deadlines-2/
New York University,New York,New York,advanced certificate in applied urban science and informatics,center for urban science & progress,NA,NA,C,Campus,http://cusp.nyu.edu/advanced-certificate-in-applied-urban-science-and-informatics/
New York University,New York,New York,"ph.d. in computer science with specialization in visualization, databases and big data",tandon school of engineering,CS,dept engineering,PhD,Campus,http://steinhardt.nyu.edu/graduate_admissions/guide/assr/ms
New York University,New York,New York,master of science in applied statistics for social science research,"steinhardt school of culture, education, and human development: d",Stats,NA,MS,Campus,http://cusp.nyu.edu/curriculum-2/
New York University,New York,New York,ms in applied urban science and informatics,center for urban science & progress,NA,NA,MS,Campus,http://www.scps.nyu.edu/academics/departments/health-information-management/advanced-diploma-in-healthcare-informatics-for-clinicians.html
New York University,New York,New York,"mba, specialization in business analytics",stern school of business,BI Analytics,dept business,MBA,Campus,http://www.scps.nyu.edu/academics/departments/health-information-management/advanced-diploma-in-healthcare-informatics-for-clinicians.html
New York University,New York,New York,master of science in business analytics,stern school of business,BI Analytics,dept business,MS,Campus,http://cusp.nyu.edu/financial-aid-and-tuition-2/
North Carolina State University at Raleigh,North Carolina,Raleigh,master of science in analytics,institute for advanced analytics,NA,NA,MS,Campus,http://analytics.ncsu.edu/
Northeastern University,Massachusetts,Boston,master of science in health informatics,college of computer and information science,NA,dept cs,MS,Campus,http://www.northeastern.edu/financialaid/studentaccounts/tuition.html#Graduate
Northeastern University,Massachusetts,Boston,master of professional studies in informatics,college of professional studies,NA,NA,M,Online,http://www.northeastern.edu/data-analytics/data-science-certificate/
Northeastern University,Massachusetts,Boston,graduate certificate in data analytics,college of computer and information sciences,NA,dept cs,C,Online,http://www.northeastern.edu/data-analytics/data-science-certificate/
Northeastern University,Massachusetts,Boston,ms in urban informatics,interdisciplinary,NA,NA,MS,Hybrid,http://www.northeastern.edu/datascience/urban-informatics-certificate/
Northeastern University,Massachusetts,Boston,graduate certificate in urban informatics,interdisciplinary,NA,NA,C,Hybrid,http://www.northeastern.edu/data-analytics/admissions/
Northwestern College,Iowa,Orange City,analytics certificate,adult and graduate studies,NA,NA,C,Online,https://online.nwciowa.edu/analytics/video
Northwestern University,Illinois,Evanston,master of science in predictive analytics online,school of continuing studies,NA,NA,MS,Online,http://sps.northwestern.edu/program-areas/professional-development/business-analytics/index.php
Northwestern University,Illinois,Evanston,master of science in information systems with concentration in analytics and business intelligence,school of professional studies,BI Analytics,NA,MS,Online,http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/tuition.php
Northwestern University,Illinois,Evanston,master of science in information systems with concentration in analytics and business intelligence,school of professional studies,IT IS,NA,MS,Online,http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/tuition.php
Northwestern University,Illinois,Evanston,certificate in analytics and business intelligence for it professionals,school of professional studies,BI Analytics,NA,C,Online,http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/index.php
Northwestern University,Illinois,Evanston,certificate in analytics and business intelligence for it professionals,school of professional studies,IT IS,NA,C,Online,http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/index.php
Northwestern University,Illinois,Evanston,master of science in analytics,mccormick school of engineering,NA,dept engineering,MS,Campus,http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/index.php
Northwestern University,Illinois,Evanston,certificate in predictive business analytics,bridge school of management,BI Analytics,dept business,C,Campus,http://sps.northwestern.edu/program-areas/advanced-graduate/analytics-business-intelligence/admission.php
Notre Dame of Maryland University,Maryland,Baltimore,master of science in analytics in knowledge management,college of arts and sciences,NA,NA,MS,Campus,http://catalog.ndm.edu/graduate/artsandsciences/knowledgemanagementprogram/
Nova Southeastern University,Florida,Fort Lauderdale,graduate certificate in business intelligence / analytics,graduate school of computer and information sciences,BI Analytics,dept cs,C,Online,http://www.scis.nova.edu/masters/certificate_bi.html
Nova Southeastern University,Florida,Fort Lauderdale,master of science in biomedical informatics,college of osteopathic medicine,NA,NA,MS,Campus,http://cec.nova.edu/admissions/apply_masters.html
Oakland University,Michigan,Rochester Hills,ms in applied statistics,department of mathematics and statistics,Stats,dept math,MS,Campus,http://wwwp.oakland.edu/business/graduate-executive-programs/msitm/
Oakland University,Michigan,Rochester Hills,ms in applied statistics,department of mathematics and statistics,Stats,dept stats,MS,Campus,http://wwwp.oakland.edu/business/graduate-executive-programs/msitm/
Oakland University,Michigan,Rochester Hills,master of science in information technology management in business analytics,school of business administration,BI Analytics,dept business,MS,Hybrid,http://www.oakland.edu/MSITM-BA
Oakland University,Michigan,Rochester Hills,master of science in information technology management in business analytics,school of business administration,IT IS,dept business,MS,Hybrid,http://www.oakland.edu/MSITM-BA
Ohio State University-Main Campus,Ohio,Columbus,master of applied statistics,department of statistics,Stats,dept stats,M,Campus,http://www.stat.osu.edu/dept/descriptions-programs/master-applied-statistics/quarters
Ohio State University-Main Campus,Ohio,Columbus,master of public health in biomedical informatics,college of medicine,NA,NA,M,Campus,http://gpadmissions.osu.edu/grad/admissions.html
Ohio University-Main Campus,Ohio,Athens,online mba in business analytics,college of business,BI Analytics,dept business,MBA,Online,http://onlinemba.ohio.edu/lp-responsive-portals/?Access_Code=OU-MBABA-FA2015A&utm_source=email&utm_campaign=OU-MBABA-FA2015A
Oklahoma State University-Main Campus,Oklahoma,Stillwater,graduate certificate in business data mining,spears school of business,BI Analytics,dept business,C,Campus or online,http://analytics.okstate.edu/certificate/grad-data-mining/
Oklahoma State University-Main Campus,Oklahoma,Stillwater,graduate certificate in marketing analytics,spears school of business,NA,dept business,C,Campus or online,https://analytics.okstate.edu/certificate/grad-data-mining/admissions/
Oklahoma State University-Main Campus,Oklahoma,Stillwater,master of science in business analytics,spears school of business,BI Analytics,dept business,MS,Campus or online,http://www.ou.edu/content/coe/academics/graduate/academics/datascience1/dsacurriculum.html
Pace University-New York,New York,New York,master of science in information systems,seidenberg school of computer science and information systems,IT IS,dept cs,MS,Campus,http://www.pace.edu/academics/graduate-students/degrees/information-systems-ms
Pace University-New York,New York,New York,ms in customer intelligence and analytics,lubin school of business,NA,dept business,MS,Campus,http://www.pace.edu/admission-aid/graduate-admission/application-process
Pasco-Hernando State College,Florida,New Port Richey,healthcare informatics specialist certificate,health and information technology,NA,dept tech,C,Campus,http://phsc.edu/program/healthcare-informatics-specialist-certificate
Pennsylvania State University-Penn State Great Valley,Pennsylvania,Malvern,graduate certificate in data analytics,school of graduate professional studies,NA,NA,C,Campus,http://greatvalley.psu.edu/Academics/Degrees/33643.htm
Pennsylvania State University-Penn State Great Valley,Pennsylvania,Malvern,master of professional studies in data analytics,school of graduate professional studies,NA,NA,M,Campus,http://greatvalley.psu.edu/Academics/Degrees/33643.htm
Pennsylvania State University-World Campus,Pennsylvania,University Park,master of professional studies in data analytics,penn state world campus,NA,NA,M,Online,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/costs
Pennsylvania State University-World Campus,Pennsylvania,University Park,master of applied statistics,eberly college of science,Stats,NA,M,Online,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/courses
Pennsylvania State University-World Campus,Pennsylvania,University Park,graduate certificate in applied statistics,eberly college of science,Stats,NA,C,Online,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/courses
Pennsylvania State University-World Campus,Pennsylvania,University Park,graduate certificate in business analytics,smeal college of business,BI Analytics,dept business,C,Online,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/apply
Philadelphia University,Pennsylvania,Philadelphia,"m.s. in modeling, simulation and data analytics","kanbar college of design, engineering, and commerce",NA,dept engineering,MS,Online,http://www.philau.edu/msda/curriculum.html
Purdue University,Indiana,West Lafayette,"mba, specialization in business analytics",krannert school of management,BI Analytics,dept business,MBA,Campus,http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/curriculum/home.php
Purdue University,Indiana,West Lafayette,certificate in applied statistics,department of statistics,Stats,dept stats,C,Online,http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/admissions/home.php
Purdue University,Indiana,West Lafayette,ms in business analytics and information management,krannert school of management,BI Analytics,dept business,MS,Campus,http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php
Purdue University,Indiana,West Lafayette,ms in business analytics and information management,krannert school of management,IM,dept business,MS,Campus,http://www.krannert.purdue.edu/masters/programs/business-analytics-and-information-management/home.php
Quinnipiac University,Connecticut,Hamden,master of science in business analytics,school of business,BI Analytics,dept business,MS,Online,http://www.quinnipiac.edu/academics/qu-online/online-programs/online-graduate-programs/master-of-science-in-business-analytics/
Radford University,Virginia,Radford,ms in data and information management,college of science and technology: department of information technology,IM,dept tech,MS,Campus,http://www.radford.edu/content/csat/home/daim/about.html
Regis University,Colorado,Denver,graduate certificate in data science,college of computer and information sciences,DS,dept cs,C,Online,http://www.regis.edu/CCIS/Academics/Degrees-Programs/Certificates/GC-Data-Science.aspx
Rensselaer Polytechnic Institute,New York,Troy,m.s. in information technology - concentration in data science and analytics,department of information technology & web science,DS,dept tech,MS,Campus,https://www.rpi.edu/dept/IT/graduate/Masters.html
Rensselaer Polytechnic Institute,New York,Troy,m.s. in information technology - concentration in data science and analytics,department of information technology & web science,IT IS,dept tech,MS,Campus,https://www.rpi.edu/dept/IT/graduate/Masters.html
Rensselaer Polytechnic Institute,New York,Troy,ms in business analytics,lally school of management,BI Analytics,dept business,MS,Campus,https://www.rpi.edu/dept/IT/graduate/admissions.html
Rochester Institute of Technology,New York,Rochester,advanced certificate in big data analytics,college of computing and information sciences,NA,NA,C,Campus,https://www.rit.edu/programs/applied-statistics-adv-cert
Rochester Institute of Technology,New York,Rochester,master of science in applied statistics,college of science,Stats,NA,MS,Campus or online,https://www.rit.edu/programs/applied-statistics-adv-cert
Rochester Institute of Technology,New York,Rochester,advanced certificate in applied statistics,college of science,Stats,NA,C,Campus or online,https://www.rit.edu/programs/applied-statistics-adv-cert
Rockhurst University,Missouri,Kansas City,data science and business analytics certificate,helzburg school of management,BI Analytics,dept business,C,Campus,http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf
Rockhurst University,Missouri,Kansas City,data science and business intelligence certificate,helzberg school of management,BI Analytics,dept business,C,Campus,http://dobyobktvl6u3.cloudfront.net/media/filer_private/2014/09/22/helzberg_datascience.pdf
Rockhurst University,Missouri,Kansas City,ms in business intelligence and analytics,helzberg school of management,BI Analytics,dept business,MS,Campus,http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf
Rutgers University,New Jersey,Camden,"master of business & science (mbs), concentration in drug discovery & development",professional science master's program,NA,NA,M,Online,http://mbs.rutgers.edu/programs/drug-discovery-development-onlinehybrid
Rutgers University,New Jersey,Camden,master of business and science degree in analytics - discovery informatics & data sciences,division of continuous education and outreach,DS,NA,M,Hybrid,http://mbs.rutgers.edu/how-apply-admission-requirements
Rutgers University,New Jersey,Camden,master of information,school of communication and information,NA,NA,M,Online,http://mbs.rutgers.edu/programs/drug-discovery-development-onlinehybrid
Rutgers University,New Jersey,Camden,mba with analytics and information management concentration,rutgers business school,IM,dept business,MBA,Campus,http://mbs.rutgers.edu/tuition-financing
Rutgers University,New Jersey,Camden,post mba certificate in analytics and information management,rutgers business school,IM,dept business,C,Campus,http://psm.rutgers.edu/programs/analytics-data-sciences
Saint Joseph's University,Pennsylvania,Philadelphia,online master of science in business intelligence & analytics,erivan k. haub school of business,BI Analytics,dept business,MS,Online,http://online.sju.edu/programs/business-intelligence-course.asp
Saint Joseph's University,Pennsylvania,Philadelphia,master of science in business intelligence & analytics program,erivan k. haub school of business,BI Analytics,dept business,MS,Campus,http://online.sju.edu/admissions/apply.asp
Saint Joseph's University,Pennsylvania,Philadelphia,online master's in health administration: informatics specialization,st joseph's university online,NA,NA,M,Online,http://online.sju.edu/programs/business-intelligence-curriculum.asp
Saint Louis University-Main Campus,Missouri,Saint Louis,applied analytics master's degree,school for professional studies,NA,NA,M,Online,http://www.slu.edu/school-for-professional-studies-home/majors-and-programs/masters-degree-programs/ms-in-applied-analytics
Saint Mary's College,Indiana,Notre Dame,online master of science in data science,department of mathematics and computer science,DS,dept math,MS,Online,https://grad.saintmarys.edu/academic-programs/ms-data-science
Saint Mary's College,Indiana,Notre Dame,online master of science in data science,department of mathematics and computer science,DS,dept cs,MS,Online,https://grad.saintmarys.edu/academic-programs/ms-data-science
Saint Mary's University of Minnesota,Minnesota,Winona,online accelerated mba - data analytics,graduate school,NA,NA,MBA,Online,http://onlineprograms.smumn.edu/mba/accelerated-online-mba
Saint Peter's University,New Jersey,Jersey City,master of science in data science with a concentration in business analytics,saint peter's university,BI Analytics,NA,MS,Campus,http://www.saintpeters.edu/data-science-and-business-analytics/
San Jose State University,California,San Jose,online business analytics certificate,lucas graduate school of business,BI Analytics,dept business,C,Online,http://www.sjsu.edu/lucasschool/bacertificate/
Santa Clara University,California,Santa Clara,master of science in business analytics,leavey school of business,BI Analytics,dept business,MS,Campus,https://www.scu.edu/business/ms-business-analytics/
Santa Clara University,California,Santa Clara,master of science in information systems,leavey school of business,IT IS,dept business,MS,Campus,https://www.scu.edu/business/ms-business-analytics/prospective-students/application-checklist/
Santa Clara University,California,Santa Clara,mba with concentration in data science and business analytics,leavey school of business,BI Analytics,dept business,MBA,Campus,https://www.scu.edu/business/ms-business-analytics/curriculum/
Seattle University,Washington,Seattle,graduate certificate in business analytics,albers school of business and economics,BI Analytics,dept business,C,Campus,http://www.seattleu.edu/albers/graduate/certificates/analytics/
Seattle University,Washington,Seattle,master of science in business analytics,albers school of business and economics,BI Analytics,dept business,MS,Campus,https://www.seattleu.edu/albers/graduate/certificates/business-analytics/
South Dakota State University,South Dakota,Brookings,ms in data science,department of mathematics and statistics,DS,dept math,MS,Campus,http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm
South Dakota State University,South Dakota,Brookings,ms in data science,department of mathematics and statistics,DS,dept stats,MS,Campus,http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm
Southern Methodist University,Texas,Dallas,online master of science in data science,data science,DS,dept ds,MS,Online,http://datascience.smu.edu/
Southern Methodist University,Texas,Dallas,m.s. in applied statistics and data analytics,dedman college of humanities & sciences,Stats,NA,MS,Campus,https://datascience.smu.edu/admissions/admissions-requirements/
Southern Methodist University,Texas,Dallas,master of science in applied economics and predictive analytics,department of economics,NA,NA,MS,Campus,http://datascience.smu.edu/academics/curriculum/
Southern Methodist University,Texas,Dallas,master of science in business analytics,cox school of business,BI Analytics,dept business,MS,Campus,http://datascience.smu.edu/admissions/tuition-and-financial-aid/
Southern New Hampshire University,New Hampshire,Manchester,master of science in data analytics,graduate,NA,NA,MS,Online,http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online/careers.asp
Southern New Hampshire University,New Hampshire,Manchester,ms in information technology - data analysis,school for professional studies,IT IS,NA,MS,Online,http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online/curriculum.asp
Southern New Hampshire University,New Hampshire,Manchester,mba in business intelligence,not available,BI Analytics,NA,MBA,Online,http://www.snhu.edu/online-degrees/masters/ms-in-data-analytics
Southwestern Oklahoma State University,Oklahoma,Weatherford,m.s. healthcare informatics & information management,allied health,IM,NA,MS,Online,http://www.swosu.edu/academics/him/programs/graduate/curriculum.aspx
St. John's University-New York,New York,Queens,master of science in data mining and predictive analytics,"department of computer science, mathematics, and science",BI Analytics,dept math,MS,Campus,http://www.stjohns.edu/academics/schools-and-colleges/college-professional-studies/programs-and-majors/data-mining-and-predictive-analytics-master-science
St. John's University-New York,New York,Queens,master of science in data mining and predictive analytics,"department of computer science, mathematics, and science",BI Analytics,dept cs,MS,Campus,http://www.stjohns.edu/academics/schools-and-colleges/college-professional-studies/programs-and-majors/data-mining-and-predictive-analytics-master-science
Stanford University,California,Stanford,biomedical informatics ms degree,school of medicine: department of biomedial informatics,NA,NA,MS,Campus,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults
Stanford University,California,Stanford,data mining and applications graduate certificate,center for professional development,BI Analytics,NA,C,Online,http://biosciences.stanford.edu/prospective/how-to-apply/
Stanford University,California,Stanford,"master of science in computer science, specialization in information management and analytics",department of computer science,CS,dept cs,MS,Campus,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602
Stanford University,California,Stanford,"master of science in computer science, specialization in information management and analytics",department of computer science,IM,dept cs,MS,Campus,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602
Stanford University,California,Stanford,mining massive data sets graduate certificate,center for professional development,BI Analytics,NA,C,Online,http://scpd.stanford.edu/admissions/apply-and-enroll/graduate-certificate-admissions
Stanford University,California,Stanford,m.s. in statistics: data science,department of statistics,DS,dept stats,MS,Campus,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults
Stanford University,California,Stanford,m.s. in statistics: data science,department of statistics,Stats,dept stats,MS,Campus,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults
Stanford University,California,Stanford,master of science in computational and mathematical engineering - data science track,institute for computational & mathematical engineering,DS,dept math,MS,Campus,http://scpd.stanford.edu/admissions/tuition-fees
Stanford University,California,Stanford,master of science in computational and mathematical engineering - data science track,institute for computational & mathematical engineering,DS,dept engineering,MS,Campus,http://scpd.stanford.edu/admissions/tuition-fees
Stevens Institute of Technology,New Jersey,Hoboken,bi&a graduate certificate,wesley j. howe school of technology management,NA,dept business,C,Online,https://www.stevens.edu/school-business/masters-programs/graduate-certificates/business-intelligence-analytics
Stevens Institute of Technology,New Jersey,Hoboken,bi&a graduate certificate,wesley j. howe school of technology management,NA,dept tech,C,Online,https://www.stevens.edu/school-business/masters-programs/graduate-certificates/business-intelligence-analytics
Stevens Institute of Technology,New Jersey,Hoboken,ms in business intelligence and analytics,graduate school,BI Analytics,NA,MS,Campus,https://www.stevens.edu/school-business/masters-programs/graduate-certificates/business-intelligence-analytics
Stevens Institute of Technology,New Jersey,Hoboken,master of science in information systems,wesley j. howe school of technology management,IT IS,dept business,MS,Campus,https://www.stevens.edu/admissions/graduate-admissions/application-process
Stevens Institute of Technology,New Jersey,Hoboken,master of science in information systems,wesley j. howe school of technology management,IT IS,dept tech,MS,Campus,https://www.stevens.edu/admissions/graduate-admissions/application-process
Syracuse University,New York,Syracuse,certificate of advanced study in data science,school of information studies,DS,NA,C,Online,https://requestinfo.onlinebusiness.syr.edu/analytics.html
Syracuse University,New York,Syracuse,online master of science in information management,school of information studies,IM,NA,MS,Online,https://onlinebusiness.syr.edu/admissions/overview/requirements/
Syracuse University,New York,Syracuse,master of science in business analytics,whitman school of management,BI Analytics,dept business,MS,Online,https://requestinfo.onlinebusiness.syr.edu/analytics.html
Tarleton State University,Texas,Stephenville,m.s. in mathematical data mining,department of mathematics,BI Analytics,dept math,MS,Campus,http://www.tarleton.edu/Costweb/math/degrees/graduate.html#MSDataMining
Tennessee Technological University,Tennessee,Cookeville,professional science master's degree in environmental informatics,college of interdisciplinary studies,NA,NA,M,Hybrid,https://www.tntech.edu/is/ses/psm/psmei
Texas A & M University-College Station,Texas,College Station,graduate certificate in statistics,department of statistics,Stats,dept stats,C,Online,http://online.stat.tamu.edu/content_link.php?page=certificates
Texas A & M University-College Station,Texas,College Station,online m.s. in applied statistics,department of statistics,Stats,dept stats,MS,Online,http://online.stat.tamu.edu/content_link.php?page=certificates
Texas A & M University-College Station,Texas,College Station,m.s. in analytics,department of statistics,NA,dept stats,MS,Campus,http://online.stat.tamu.edu/app_process_certificates.php
Texas Tech University,Texas,Lubbock,master of science in data science,rawls college of business,DS,dept business,MS,Campus,https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/
Texas Woman's University,Texas,Denton,master of science in informatics,department of mathematics & computer science,NA,dept math,MS,Campus,http://www.twu.edu/informatics/graduate-program/
Texas Woman's University,Texas,Denton,master of science in informatics,department of mathematics & computer science,NA,dept cs,MS,Campus,http://www.twu.edu/informatics/graduate-program/
The College of Saint Scholastica,Minnesota,Duluth,m.s. health informatics,health informatics program,NA,NA,MS,Online,http://www.css.edu/Graduate/Masters-Doctoral-and-Professional-Programs/Areas-of-Study/MS-Health-Informatics/Curriculum.html?ss=print
The New School,New York,New York,data visualization (ms),"school of art, media & technology",NA,dept tech,MS,Campus,http://www.newschool.edu/parsons/ms-data-visualization/
The University of Alabama,Alabama,Tuscaloosa,"m.s. degree in applied statistics, data mining track",manderson graduate school of business,BI Analytics,dept business,MS,Campus,http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics
The University of Alabama,Alabama,Tuscaloosa,"m.s. degree in applied statistics, data mining track",manderson graduate school of business,Stats,dept business,MS,Campus,http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics
The University of Alabama,Alabama,Tuscaloosa,"master of science in marketing, specialization in marketing analytics",manderson graduate school of business,NA,dept business,MS,Campus or online,http://manderson.cba.ua.edu/admissions/application_requirements/
The University of Alabama,Alabama,Tuscaloosa,mba with concentration in business analytics,culverhouse college of commerce,BI Analytics,NA,MBA,Campus,http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics
The University of Alabama,Alabama,Tuscaloosa,ms in operations management - decision analytics track,manderson graduate school of business,NA,dept business,MS,Online,http://cost.ua.edu/
The University of Montana,Montana,Missoula,master of business analytics,school of business administration,BI Analytics,dept business,M,Campus,http://www.business.umt.edu/programs/graduate/msba-program/default.php
The University of Tennessee,Tennessee,Knoxville,master of science in business analytics,haslam college of business,BI Analytics,dept business,MS,Campus,http://bus.utk.edu/soms/analytics/
The University of Tennessee,Tennessee,Knoxville,mba with business analytics concentration,haslam college of business,BI Analytics,dept business,MBA,Campus,http://bas.utk.edu/academic-programs/masters/business-analytics/admission-requirements.asp
The University of Tennessee at Chattanooga,Tennessee,Chattanooga,professional mba with business analytics,college of business,BI Analytics,dept business,MBA,Online,http://www.utc.edu/college-business/academic-programs/mba/index.php
The University of Texas at Arlington,Texas,Arlington,m.s. in business analytics,department of information systems and operations management,BI Analytics,dept business,MS,Campus,http://www.uta.edu/msba
The University of Texas at Austin,Texas,Austin,master of science in business analytics,red mccombs school of business,BI Analytics,dept business,MS,Campus,http://www.mccombs.utexas.edu/business-analytics.aspx
The University of Texas at Dallas,Texas,Richardson,master of science in marketing with specialization in marketing analytics,naveen jindal school of management,NA,dept business,MS,Hybrid,https://www.utdallas.edu/isso/i20-expenses/
The University of Texas at Dallas,Texas,Richardson,master of science in healthcare management with specialization in healthcare informatics,naveen jindal school of management,NA,dept business,MS,Hybrid,http://jindal.utdallas.edu/isom/information-systems-programs/certificate-programs/#01-sas-ut-dallas-data-mining-and-bi
The University of Texas at Dallas,Texas,Richardson,graduate certificate in business intelligence and data mining,naveen jindal school of management,BI Analytics,dept business,C,Online,http://jindal.utdallas.edu/isom/information-systems-programs/certificate-programs/#01-sas-ut-dallas-data-mining-and-bi
The University of Texas at Dallas,Texas,Richardson,master of science in business analytics,jindal school of management,BI Analytics,dept business,MS,Campus,http://www.utdallas.edu/admissions/graduate/steps-to-admission/apply-now/
The University of Texas at San Antonio,Texas,San Antonio,master of science in data analytics,college of business,NA,dept business,MS,Campus,http://graduateschool.utsa.edu/future-students/academic-programs/applied-statistics-m.s
The University of Texas at San Antonio,Texas,San Antonio,master of science in applied statistics,college of business,Stats,dept business,MS,Campus,http://graduateschool.utsa.edu/future-students/academic-programs/applied-statistics-m.s
Thomas Edison State University,New Jersey,Trenton,mba in data analytics,school of business & management,NA,dept business,MBA,Online,http://www.tesu.edu/business/mba/Data-Analytics.cfm
Trocaire College,New York,Buffalo,certificate in healthcare informatics,healthcare informatics,NA,NA,C,Campus,https://www.trocaire.edu/academics/healthcare-informatics/healthcare-informatics-certificate
University at Buffalo,New York,Buffalo,master of science (ms) in management science: business analytics and systems from the state university of new york at buffalo and a master of business,university at buffalo school of management and amrita university,BI Analytics,dept business,MS,Campus,http://mgt.buffalo.edu/degree-programs/abroad/business-analytics-amrita.html
University of Alabama at Birmingham,Alabama,Birmingham,master of science in management information systems,collat school of business,IM,dept business,MS,Online,http://businessdegrees.uab.edu/mis-degree-masters/
University of Alabama in Huntsville,Alabama,Huntsville,master of science in management science - business analytics (msms-ba),college of business administration,BI Analytics,dept business,MS,Campus or online,http://www.uah.edu/cba/grad/degrees/analytics
University of Arizona,Arizona,Tucson,business intelligence & analytics (certificate ndp),"management information systems (mis) department, in association with t",BI Analytics,dept business,C,Online,http://grad.arizona.edu/programs/programinfo/BIACRTG
University of Arizona,Arizona,Tucson,online master's in management information systems,eller college of management,IM,dept business,M,Online,https://misonline.eller.arizona.edu/certificates/business-intelligence
University of Arizona,Arizona,Tucson,master's in management information systems,eller college of management,IM,dept business,M,Campus,http://grad.arizona.edu/programs/programinfo/BIACRTG
University of Arkansas,Arkansas,Fayetteville,graduate certificate in business analytics,sam m. walton college of business,BI Analytics,dept business,C,Campus,http://gsb.uark.edu/business-analytics-certificate/
University of Arkansas,Arkansas,Fayetteville,professional master of information systems,sam m. walton college of business,IT IS,dept business,M,Hybrid,http://gsb.uark.edu/master-of-information-systems/mis-enterprise-certificate/certificate-curricula/
University of Arkansas,Arkansas,Fayetteville,master of information systems with business analytics concentration,sam m. walton college of business,BI Analytics,dept business,M,Campus,http://gsb.uark.edu/graduate-certificates/business-analytics.php#admissions
University of Arkansas,Arkansas,Fayetteville,master of information systems with business analytics concentration,sam m. walton college of business,IT IS,dept business,M,Campus,http://gsb.uark.edu/graduate-certificates/business-analytics.php#admissions
University of California-Berkeley,California,Berkeley,online master of information and data science (mids),school of information,DS,NA,M,Online,http://datascience.berkeley.edu/academics/academics-overview/
University of California-Berkeley,California,Berkeley,master of engineering - concentration in data science & systems,fung institute for engineering leadership,DS,dept engineering,M,Campus,https://datascience.berkeley.edu/admissions/admissions-requirements/
University of California-Berkeley,California,Berkeley,master of information management and systems,school of information,IM,NA,M,Campus,http://datascience.berkeley.edu/academics/curriculum/
